"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2019-08",5.223804,
"AUS","HUR","TOT","PC_LF","M","2019-09",5.160942,
"AUS","HUR","TOT","PC_LF","M","2019-10",5.271043,
"AUS","HUR","TOT","PC_LF","M","2019-11",5.15723,
"AUS","HUR","TOT","PC_LF","M","2019-12",5.046326,
"AUS","HUR","TOT","PC_LF","M","2020-01",5.311689,
"AUS","HUR","TOT","PC_LF","M","2020-02",5.13366,
"AUS","HUR","TOT","PC_LF","M","2020-03",5.271841,
"AUS","HUR","TOT","PC_LF","M","2020-04",6.37428,
"AUS","HUR","TOT","PC_LF","M","2020-05",7.01855,
"AUS","HUR","TOT","PC_LF","M","2020-06",7.353493,
"AUS","HUR","TOT","PC_LF","M","2020-07",7.447852,
"AUS","HUR","TOT","PC_LF","M","2020-08",6.758117,
"AUS","HUR","TOT","PC_LF","M","2020-09",6.854742,
"AUS","HUR","TOT","PC_LF","M","2020-10",6.936029,
"AUS","HUR","TOT","PC_LF","M","2020-11",6.83282,
"AUS","HUR","TOT","PC_LF","M","2020-12",6.57785,
"AUS","HUR","TOT","PC_LF","M","2021-01",6.399354,
"AUS","HUR","TOT","PC_LF","M","2021-02",5.862513,
"AUS","HUR","TOT","PC_LF","M","2021-03",5.693571,
"AUS","HUR","TOT","PC_LF","M","2021-04",5.47039,
"AUS","HUR","TOT","PC_LF","M","2021-05",5.064299,
"AUS","HUR","TOT","PC_LF","M","2021-06",4.905563,
"AUS","HUR","TOT","PC_LF","M","2021-07",4.627531,
"AUS","HUR","TOT","PC_LF","M","2021-08",4.524375,
"AUT","HUR","TOT","PC_LF","M","2019-08",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2019-09",4.6,"P"
"AUT","HUR","TOT","PC_LF","M","2019-10",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-11",4.3,"P"
"AUT","HUR","TOT","PC_LF","M","2019-12",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-01",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-02",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-03",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2020-04",6,"P"
"AUT","HUR","TOT","PC_LF","M","2020-05",7.2,"P"
"AUT","HUR","TOT","PC_LF","M","2020-06",7.7,"P"
"AUT","HUR","TOT","PC_LF","M","2020-07",6.8,"P"
"AUT","HUR","TOT","PC_LF","M","2020-08",6.4,"P"
"AUT","HUR","TOT","PC_LF","M","2020-09",6.3,"P"
"AUT","HUR","TOT","PC_LF","M","2020-10",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2020-11",6,"P"
"AUT","HUR","TOT","PC_LF","M","2020-12",6.8,"P"
"AUT","HUR","TOT","PC_LF","M","2021-01",7.3,"P"
"AUT","HUR","TOT","PC_LF","M","2021-02",7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-03",6.7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-04",7.1,"P"
"AUT","HUR","TOT","PC_LF","M","2021-05",6.7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-06",6.2,"P"
"AUT","HUR","TOT","PC_LF","M","2021-07",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2021-08",6.1,"P"
"BEL","HUR","TOT","PC_LF","M","2019-08",5.1,
"BEL","HUR","TOT","PC_LF","M","2019-09",5.1,
"BEL","HUR","TOT","PC_LF","M","2019-10",5.2,
"BEL","HUR","TOT","PC_LF","M","2019-11",5.2,
"BEL","HUR","TOT","PC_LF","M","2019-12",5.3,
"BEL","HUR","TOT","PC_LF","M","2020-01",5.2,
"BEL","HUR","TOT","PC_LF","M","2020-02",5,
"BEL","HUR","TOT","PC_LF","M","2020-03",4.9,
"BEL","HUR","TOT","PC_LF","M","2020-04",4.9,
"BEL","HUR","TOT","PC_LF","M","2020-05",5,
"BEL","HUR","TOT","PC_LF","M","2020-06",5.4,
"BEL","HUR","TOT","PC_LF","M","2020-07",6,
"BEL","HUR","TOT","PC_LF","M","2020-08",6.4,
"BEL","HUR","TOT","PC_LF","M","2020-09",6.3,
